categoria,product_name,proteins_100g,fat_100g,carbohydrates_100g,energy-kcal_100g,nutriscore_grade
meats,Emincés de Poulet - 100% Cuisse,22,8.4,0.8,167,d
meats,Nuggets de poulet bio,11,8.1,21,209,c
meats,CHORIZO Doux,18,46,3,498,e
meats,HERTA KNACKI Saucisses 100% pur porc x6 - 210g,12,23,1.2,259.8,e
meats,HERTA KNACKI Saucisses 100% pur porc x10 - 350g,12,23,1.2,259.8,e
meats,Le Pâté Hénaff,17,21,0.5,257,d
meats,Le Jambon Supérieur à l'Étouffé,20,2.7,0.5,106,c
meats,Blanc de dinde 100% Filet,20,1.2,1.8,101,a
meats,HERTA allumettes de Bacon 2x100g - 200g,19,3,0.8,106.2,d
meats,Pechuga de Pollo 92%,18.1,1.7,1,89,e
meats,Le Supérieur - à l'Etouffée,22,2.8,0.5,115,c
meats,MAGGI Fond de Veau Dégraissé boîte 100g,,,,,b
meats,HERTA KNACKI Saucisses 100% Poulet x10 - 350g,15,15,2,203,d
meats,Nuggets de poulet panés,16,6.4,13,173,a
meats,Le Torchon - Cuit à l'Etouffée  - 25% de sel,22,2.8,0.5,115,c
meats,Blanc de Poulet - Rôti à la Broche,21,2,0.5,104,b
meats,jamón cocido extra 1954,19.4,3.5,0.5,112,d
meats,Blanc de poulet,21,1.9,0.5,103,a
meats,Pollo relleno asado al horno,18.5,9.5,1.7,110,d
meats,Parmentier de canard confit,7.33333333333333,6,9.33333333333333,122,d
meats,HERTA Lardons Fumés 200g,17,20,0,248,e
meats,Jambon supérieur,20,3,1,111,c
meats,Viande des GRISONS,38,4,1.5,194,e
meats,Escalope Cordon Bleu de qualité supérieure,18,14,11,244,b
meats,Véritables knacks d'Alsace,13,24,0.9,271,e
meats,Rillettes de Poulet Rôti en cocotte,15,27,2,309,d
meats,Gésiers de volaille confits,23,7.1,0,156,b
meats,Aiguillettes de poulet au miel et aux épices semoule,8.4,1.5,17,123,a
meats,Tiras de pechuga de pollo al natural,23.4,1.2,0.6,452,b
meats,Aiguillettes de poulet saveur citron surgelées,21,1.3,2.9,108,a
